# Year  LandAvg  LandOceanAvg
1850  7.9007  14.8672
1851  8.1786  14.9918
1852  8.1002  15.0065
1853  8.0418  14.9552
1854  8.2105  14.9910
1855  8.1107  15.0211
1856  7.9959  14.8793
1857  7.7582  14.7582
1858  8.1003  14.8815
1859  8.2520  14.9299
1860  7.9608  14.8829
1861  7.8465  14.8007
1862  7.5586  14.7401
1863  8.1118  14.9358
1864  7.9836  14.8965
1865  8.1778  14.9967
1866  8.2922  15.0570
1867  8.4363  15.0587
1868  8.2479  15.0969
1869  8.4321  15.0655
1870  8.2013  15.0043
1871  8.1151  15.0059
1872  8.1938  15.0193
1873  8.3511  15.0493
1874  8.4335  14.9570
1875  7.8596  14.9219
1876  8.0801  14.9094
1877  8.5396  15.2827
1878  8.8298  15.3574
1879  8.1658  15.0644
1880  8.1187  15.0087
1881  8.2709  15.0872
1882  8.1289  15.0566
1883  7.9769  14.9633
1884  7.7737  14.8333
1885  7.9197  14.8544
1886  7.9545  14.8353
1887  7.9149  14.8160
1888  8.0905  14.9941
1889  8.3190  15.1134
1890  7.9717  14.8407
1891  8.0193  14.9438
1892  8.0658  14.8825
1893  8.0567  14.9123
1894  8.1610  14.9147
1895  8.1470  14.9690
1896  8.2149  15.0906
1897  8.2933  15.0753
1898  8.1780  14.8869
1899  8.3963  15.0483
1900  8.5016  15.1439
1901  8.5419  15.0733
1902  8.3044  14.9583
1903  8.2202  14.8366
1904  8.0909  14.8104
1905  8.2252  14.9547
1906  8.3791  15.0319
1907  7.9472  14.8748
1908  8.1861  14.8382
1909  8.1783  14.7903
1910  8.2230  14.8191
1911  8.1770  14.7760
1912  8.1654  14.8772
1913  8.2977  14.9087
1914  8.5905  15.0763
1915  8.5932  15.1437
1916  8.2253  14.9013
1917  8.0233  14.8098
1918  8.1308  14.9598
1919  8.3823  15.0067
1920  8.3588  15.0262
1921  8.5710  15.1021
1922  8.4080  15.0123
1923  8.4222  15.0278
1924  8.5068  15.0393
1925  8.5344  15.0903
1926  8.7288  15.2411
1927  8.5221  15.1223
1928  8.6322  15.1323
1929  8.2424  14.9674
1930  8.6336  15.1725
1931  8.7193  15.2283
1932  8.7053  15.1880
1933  8.3383  15.0129
1934  8.6283  15.1445
1935  8.5158  15.1188
1936  8.5540  15.1662
1937  8.6983  15.3005
1938  8.8637  15.2931
1939  8.7603  15.3023
1940  8.7647  15.3721
1941  8.7687  15.3847
1942  8.7284  15.3253
1943  8.7551  15.3450
1944  8.8450  15.4491
1945  8.5848  15.3308
1946  8.6769  15.2628
1947  8.7971  15.3102
1948  8.7468  15.2612
1949  8.5868  15.2227
1950  8.3653  15.1395
1951  8.6257  15.3112
1952  8.6383  15.3631
1953  8.8738  15.4211
1954  8.5607  15.2306
1955  8.6263  15.1743
1956  8.2796  15.1060
1957  8.7325  15.3741
1958  8.7738  15.3821
1959  8.7327  15.3405
1960  8.5838  15.2919
1961  8.7977  15.3799
1962  8.7459  15.3256
1963  8.8560  15.3767
1964  8.4097  15.1171
1965  8.5274  15.1958
1966  8.5993  15.2647
1967  8.7001  15.2942
1968  8.5163  15.2639
1969  8.5951  15.3905
1970  8.7009  15.3327
1971  8.5992  15.2000
1972  8.4996  15.2929
1973  8.9482  15.4048
1974  8.4675  15.1681
1975  8.7448  15.2387
1976  8.3472  15.1311
1977  8.8502  15.4083
1978  8.6927  15.3009
1979  8.7334  15.4142
1980  8.9803  15.4918
1981  9.1658  15.5162
1982  8.6392  15.3419
1983  9.0282  15.5202
1984  8.6918  15.3442
1985  8.6580  15.3407
1986  8.8336  15.3840
1987  8.9944  15.5245
1988  9.2016  15.5558
1989  8.9220  15.4416
1990  9.2342  15.6293
1991  9.1794  15.5980
1992  8.8366  15.4530
1993  8.8666  15.4664
1994  9.0387  15.5350
1995  9.3471  15.6378
1996  9.0389  15.5247
1997  9.2026  15.7138
1998  9.5227  15.8260
1999  9.2851  15.6003
2000  9.2012  15.6107
2001  9.4146  15.7675
2002  9.5704  15.8292
2003  9.5256  15.8266
2004  9.3246  15.7573
2005  9.7009  15.8792
2006  9.5325  15.8135
2007  9.7322  15.8273
2008  9.4318  15.7213
2009  9.5053  15.8272
2010  9.7031  15.8955
2011  9.5160  15.7695
2012  9.5073  15.8023
2013  9.6065  15.8544
2014  9.5707  15.9130
2015  9.8310  16.0586
