# RelYear  19thCentury  20thCentury
0  8.4843  8.5016
1  8.5897  8.5419
2  8.5782  8.3044
3  8.5030  8.2202
4  8.8448  8.0909
5  8.5627  8.2252
6  8.4341  8.3791
7  8.2814  7.9472
8  7.6268  8.1861
9  7.0764  8.1783
10  6.9227  8.2230
11  6.8595  8.1770
12  7.0463  8.1654
13  7.7399  8.2977
14  7.5918  8.5905
15  7.2393  8.5932
16  6.9375  8.2253
17  6.9757  8.0233
18  7.8289  8.1308
19  7.3692  8.3823
20  7.6162  8.3588
21  8.0901  8.5710
22  8.1883  8.4080
23  7.7187  8.4222
24  8.5472  8.5068
25  8.3893  8.5344
26  8.3566  8.7288
27  8.8087  8.5221
28  8.1653  8.6322
29  7.9418  8.2424
30  8.5168  8.6336
31  7.6392  8.7193
32  7.4502  8.7053
33  8.0130  8.3383
34  8.1468  8.6283
35  7.3925  8.5158
36  7.6958  8.5540
37  7.3757  8.6983
38  7.5149  8.8637
39  7.6322  8.7603
40  7.7963  8.7647
41  7.6882  8.7687
42  8.0228  8.7284
43  8.1737  8.7551
44  7.6463  8.8450
45  7.8512  8.5848
46  8.5527  8.6769
47  8.0860  8.7971
48  7.9795  8.7468
49  7.9844  8.5868
50  7.9007  8.3653
51  8.1786  8.6257
52  8.1002  8.6383
53  8.0418  8.8738
54  8.2105  8.5607
55  8.1107  8.6263
56  7.9959  8.2796
57  7.7582  8.7325
58  8.1003  8.7738
59  8.2520  8.7327
60  7.9608  8.5838
61  7.8465  8.7977
62  7.5586  8.7459
63  8.1118  8.8560
64  7.9836  8.4097
65  8.1778  8.5274
66  8.2922  8.5993
67  8.4363  8.7001
68  8.2479  8.5163
69  8.4321  8.5951
70  8.2013  8.7009
71  8.1151  8.5992
72  8.1938  8.4996
73  8.3511  8.9482
74  8.4335  8.4675
75  7.8596  8.7448
76  8.0801  8.3472
77  8.5396  8.8502
78  8.8298  8.6927
79  8.1658  8.7334
80  8.1187  8.9803
81  8.2709  9.1658
82  8.1289  8.6392
83  7.9769  9.0282
84  7.7737  8.6918
85  7.9197  8.6580
86  7.9545  8.8336
87  7.9149  8.9944
88  8.0905  9.2016
89  8.3190  8.9220
90  7.9717  9.2342
91  8.0193  9.1794
92  8.0658  8.8366
93  8.0567  8.8666
94  8.1610  9.0387
95  8.1470  9.3471
96  8.2149  9.0389
97  8.2933  9.2026
98  8.1780  9.5227
99  8.3963  9.2851
