# Year  LandAvg  LandMax  LandMin
1850  7.9007  13.4767  1.9643
1851  8.1786  13.0810  2.2039
1852  8.1002  13.3973  2.3370
1853  8.0418  13.8866  1.8925
1854  8.2105  13.9774  1.7622
1855  8.1107  13.4932  1.7028
1856  7.9959  13.4702  1.5251
1857  7.7582  13.4376  1.8568
1858  8.1003  13.6830  2.1107
1859  8.2520  13.8603  2.4602
1860  7.9608  13.9603  2.3442
1861  7.8465  13.8568  2.2628
1862  7.5586  14.2473  2.4828
1863  8.1118  13.6199  2.7671
1864  7.9836  13.9189  2.4102
1865  8.1778  14.2981  2.5518
1866  8.2922  14.1659  2.4323
1867  8.4363  14.1467  2.4637
1868  8.2479  14.0979  2.3697
1869  8.4321  14.0695  2.1651
1870  8.2013  14.2101  2.4248
1871  8.1151  13.9838  2.1580
1872  8.1938  14.2851  2.1874
1873  8.3511  14.0102  1.9041
1874  8.4335  13.8835  2.0617
1875  7.8596  14.0084  1.6142
1876  8.0801  13.9348  2.1347
1877  8.5396  14.4303  2.6486
1878  8.8298  14.7422  2.9817
1879  8.1658  14.0658  2.0789
1880  8.1187  13.9134  2.0544
1881  8.2709  14.0504  2.4264
1882  8.1289  14.1143  2.2726
1883  7.9769  13.9622  1.8802
1884  7.7737  13.6921  1.6478
1885  7.9197  13.9116  1.8742
1886  7.9545  13.9465  1.9712
1887  7.9149  13.8901  1.9069
1888  8.0905  13.9092  1.9541
1889  8.3190  14.2941  2.3481
1890  7.9717  13.9289  1.8508
1891  8.0193  14.0333  1.9055
1892  8.0658  13.9706  1.9817
1893  8.0567  13.9367  1.9072
1894  8.1610  14.0405  2.1237
1895  8.1470  14.0777  2.0758
1896  8.2149  14.1079  2.1147
1897  8.2933  14.1867  2.2941
1898  8.1780  14.2318  2.1530
1899  8.3963  14.3316  2.4301
1900  8.5016  14.3895  2.5757
1901  8.5419  14.5122  2.4905
1902  8.3044  14.3643  2.2037
1903  8.2202  14.0857  2.2833
1904  8.0909  14.0637  2.1711
1905  8.2252  14.0822  2.3433
1906  8.3791  14.2440  2.4864
1907  7.9472  13.8078  2.0032
1908  8.1861  14.0388  2.1747
1909  8.1783  14.0266  2.1576
1910  8.2230  14.0973  2.1577
1911  8.1770  13.9878  2.2502
1912  8.1654  14.0533  2.2010
1913  8.2977  14.2017  2.3191
1914  8.5905  14.3145  2.6871
1915  8.5932  14.4742  2.6437
1916  8.2253  14.0972  2.2625
1917  8.0233  13.9259  2.0196
1918  8.1308  13.9611  2.1857
1919  8.3823  14.1563  2.4511
1920  8.3588  14.1427  2.4457
1921  8.5710  14.4244  2.6771
1922  8.4080  14.2052  2.4333
1923  8.4222  14.1818  2.4563
1924  8.5068  14.2238  2.5062
1925  8.5344  14.3443  2.5415
1926  8.7288  14.4522  2.7686
1927  8.5221  14.2978  2.5352
1928  8.6322  14.3622  2.6683
1929  8.2424  13.9564  2.3011
1930  8.6336  14.3263  2.7400
1931  8.7193  14.4198  2.8186
1932  8.7053  14.4321  2.7625
1933  8.3383  14.0783  2.4244
1934  8.6283  14.3842  2.7666
1935  8.5158  14.2869  2.5878
1936  8.5540  14.3146  2.6394
1937  8.6983  14.4763  2.7500
1938  8.8637  14.6499  3.0330
1939  8.7603  14.5947  2.8807
1940  8.7647  14.5791  2.8903
1941  8.7687  14.5362  2.9148
1942  8.7284  14.5343  2.9201
1943  8.7551  14.6030  2.9366
1944  8.8450  14.7272  3.0597
1945  8.5848  14.4387  2.7723
1946  8.6769  14.4815  2.8306
1947  8.7971  14.5625  2.9646
1948  8.7468  14.6156  2.9154
1949  8.5868  14.4147  2.8022
1950  8.3653  14.1738  2.5786
1951  8.6257  14.4302  2.7357
1952  8.6383  14.4626  2.8202
1953  8.8738  14.6392  3.1077
1954  8.5607  14.2866  2.8658
1955  8.6263  14.3291  2.8614
1956  8.2796  14.0237  2.5617
1957  8.7325  14.3819  3.0010
1958  8.7738  14.4775  3.1145
1959  8.7327  14.4165  3.1086
1960  8.5838  14.3174  2.9326
1961  8.7977  14.5149  3.1288
1962  8.7459  14.5402  3.0086
1963  8.8560  14.6123  3.1576
1964  8.4097  14.1568  2.7688
1965  8.5274  14.2684  2.8414
1966  8.5993  14.3259  2.8994
1967  8.7001  14.4065  3.0371
1968  8.5163  14.1643  2.8573
1969  8.5951  14.2121  2.9629
1970  8.7009  14.4033  3.0427
1971  8.5992  14.3528  2.9622
1972  8.4996  14.1649  2.8448
1973  8.9482  14.5660  3.3702
1974  8.4675  14.0819  2.9009
1975  8.7448  14.3837  3.1211
1976  8.3472  14.0080  2.7342
1977  8.8502  14.4855  3.2946
1978  8.6927  14.2812  3.1709
1979  8.7334  14.4578  3.2001
1980  8.9803  14.6729  3.4047
1981  9.1658  14.8552  3.6359
1982  8.6392  14.3009  3.2399
1983  9.0282  14.6798  3.5524
1984  8.6918  14.3427  3.1867
1985  8.6580  14.2672  3.1757
1986  8.8336  14.5168  3.3193
1987  8.9944  14.6998  3.4314
1988  9.2016  14.8900  3.6540
1989  8.9220  14.6215  3.3343
1990  9.2342  14.9577  3.6587
1991  9.1794  14.8396  3.6222
1992  8.8366  14.4713  3.2635
1993  8.8666  14.5198  3.2846
1994  9.0387  14.7292  3.3961
1995  9.3471  15.0264  3.7035
1996  9.0389  14.7372  3.3812
1997  9.2026  14.8680  3.5902
1998  9.5227  15.1694  3.9492
1999  9.2851  14.9828  3.6623
2000  9.2012  14.8988  3.5818
2001  9.4146  15.1592  3.7407
2002  9.5704  15.3123  3.8646
2003  9.5256  15.2493  3.8516
2004  9.3246  15.0180  3.6644
2005  9.7009  15.3498  4.1138
2006  9.5325  15.2620  3.8648
2007  9.7322  15.5331  4.0093
2008  9.4318  15.1918  3.7248
2009  9.5053  15.2666  3.7969
2010  9.7031  15.4490  4.0239
2011  9.5160  15.2848  3.8277
2012  9.5073  15.3328  3.7562
2013  9.6065  15.3738  3.9113
2014  9.5707  15.3136  3.8777
2015  9.8310  15.5727  4.1488
